Sexo;Comunidad autónoma;Total
Ambos sexos;Total;38,57
Ambos sexos;Andalucía;34,24
Ambos sexos;Aragón;38,82
Ambos sexos;Asturias (Principado de);50,65
Ambos sexos;Balears (Illes);43,72
Ambos sexos;Canarias;38,37
Ambos sexos;Cantabria;39,71
Ambos sexos;Castilla y León;35,85
Ambos sexos;Castilla-La Mancha;36,62
Ambos sexos;Cataluña;39,18
Ambos sexos;Comunidad Valenciana;36,64
Ambos sexos;Extremadura;34,22
Ambos sexos;Galicia;40,99
Ambos sexos;Madrid (Comunidad de);43,28
Ambos sexos;Murcia (Región de);35,53
Ambos sexos;Navarra (Comunidad Foral de);35,43
Ambos sexos;País Vasco;40,78
Ambos sexos;Rioja (La);43,19
Ambos sexos;Ceuta y Melilla;34,36
Varones;Total;39,69
Varones;Andalucía;37,49
Varones;Aragón;35,85
Varones;Asturias (Principado de);54,25
Varones;Balears (Illes);46,94
Varones;Canarias;37,49
Varones;Cantabria;38,46
Varones;Castilla y León;37,06
Varones;Castilla-La Mancha;37,23
Varones;Cataluña;39,27
Varones;Comunidad Valenciana;35,81
Varones;Extremadura;32,65
Varones;Galicia;40,27
Varones;Madrid (Comunidad de);46,6
Varones;Murcia (Región de);40,26
Varones;Navarra (Comunidad Foral de);38,49
Varones;País Vasco;40,24
Varones;Rioja (La);39,02
Varones;Ceuta y Melilla;37,5
Mujeres;Total;37,42
Mujeres;Andalucía;30,92
Mujeres;Aragón;42,02
Mujeres;Asturias (Principado de);47,02
Mujeres;Balears (Illes);40,35
Mujeres;Canarias;39,27
Mujeres;Cantabria;40,99
Mujeres;Castilla y León;34,56
Mujeres;Castilla-La Mancha;35,97
Mujeres;Cataluña;39,09
Mujeres;Comunidad Valenciana;37,5
Mujeres;Extremadura;35,88
Mujeres;Galicia;41,71
Mujeres;Madrid (Comunidad de);40
Mujeres;Murcia (Región de);30,49
Mujeres;Navarra (Comunidad Foral de);32,17
Mujeres;País Vasco;41,34
Mujeres;Rioja (La);47,74
Mujeres;Ceuta y Melilla;31,1
