Sexo;Comunidad autónoma;Total
Ambos sexos;Total;2,05
Ambos sexos;Andalucía;2,05
Ambos sexos;Aragón;2,04
Ambos sexos;Asturias (Principado de);1,68
Ambos sexos;Balears (Illes);3,08
Ambos sexos;Canarias;4,27
Ambos sexos;Cantabria;0,78
Ambos sexos;Castilla y León;1,71
Ambos sexos;Castilla-La Mancha;0,28
Ambos sexos;Cataluña;1,56
Ambos sexos;Comunidad Valenciana;2,3
Ambos sexos;Extremadura;2,69
Ambos sexos;Galicia;0,91
Ambos sexos;Madrid (Comunidad de);2,55
Ambos sexos;Murcia (Región de);2,58
Ambos sexos;Navarra (Comunidad Foral de);2,14
Ambos sexos;País Vasco;1,82
Ambos sexos;Rioja (La);3,08
Ambos sexos;Ceuta y Melilla;1,63
Varones;Total;3,53
Varones;Andalucía;3,73
Varones;Aragón;3,99
Varones;Asturias (Principado de);2,68
Varones;Balears (Illes);5,99
Varones;Canarias;7,16
Varones;Cantabria;1,58
Varones;Castilla y León;3,27
Varones;Castilla-La Mancha;0,51
Varones;Cataluña;3,02
Varones;Comunidad Valenciana;3,74
Varones;Extremadura;3,87
Varones;Galicia;1,42
Varones;Madrid (Comunidad de);4,13
Varones;Murcia (Región de);3,74
Varones;Navarra (Comunidad Foral de);4,17
Varones;País Vasco;3,17
Varones;Rioja (La);5,21
Varones;Ceuta y Melilla;2,3
Mujeres;Total;0,47
Mujeres;Andalucía;0,38
Mujeres;Aragón;0
Mujeres;Asturias (Principado de);0,54
Mujeres;Balears (Illes);0
Mujeres;Canarias;1,26
Mujeres;Cantabria;0
Mujeres;Castilla y León;0
Mujeres;Castilla-La Mancha;0
Mujeres;Cataluña;0
Mujeres;Comunidad Valenciana;0,73
Mujeres;Extremadura;1,38
Mujeres;Galicia;0,37
Mujeres;Madrid (Comunidad de);0,96
Mujeres;Murcia (Región de);1,23
Mujeres;Navarra (Comunidad Foral de);0
Mujeres;País Vasco;0,44
Mujeres;Rioja (La);0,6
Mujeres;Ceuta y Melilla;0,89
