Sexo;Comunidad autónoma;Total
Ambos sexos;Total;27,92
Ambos sexos;Andalucía;28,81
Ambos sexos;Aragón;25,12
Ambos sexos;Asturias (Principado de);28,89
Ambos sexos;Balears (Illes);36,87
Ambos sexos;Canarias;31,23
Ambos sexos;Cantabria;31,43
Ambos sexos;Castilla y León;31,53
Ambos sexos;Castilla-La Mancha;24,87
Ambos sexos;Cataluña;29,38
Ambos sexos;Comunidad Valenciana;28,81
Ambos sexos;Extremadura;25,51
Ambos sexos;Galicia;29,61
Ambos sexos;Madrid (Comunidad de);23,48
Ambos sexos;Murcia (Región de);30,54
Ambos sexos;Navarra (Comunidad Foral de);23,78
Ambos sexos;País Vasco;21,42
Ambos sexos;Rioja (La);23,58
Ambos sexos;Ceuta y Melilla;32,51
Varones;Total;31,69
Varones;Andalucía;32,26
Varones;Aragón;27,46
Varones;Asturias (Principado de);32,86
Varones;Balears (Illes);43,99
Varones;Canarias;32,54
Varones;Cantabria;35,06
Varones;Castilla y León;34,09
Varones;Castilla-La Mancha;29,56
Varones;Cataluña;33,61
Varones;Comunidad Valenciana;32,5
Varones;Extremadura;31,59
Varones;Galicia;36,99
Varones;Madrid (Comunidad de);25,72
Varones;Murcia (Región de);33,85
Varones;Navarra (Comunidad Foral de);29,22
Varones;País Vasco;25,4
Varones;Rioja (La);26,99
Varones;Ceuta y Melilla;38,97
Mujeres;Total;23,93
Mujeres;Andalucía;25,37
Mujeres;Aragón;22,68
Mujeres;Asturias (Principado de);24,38
Mujeres;Balears (Illes);29,33
Mujeres;Canarias;29,87
Mujeres;Cantabria;27,9
Mujeres;Castilla y León;28,71
Mujeres;Castilla-La Mancha;19,33
Mujeres;Cataluña;24,88
Mujeres;Comunidad Valenciana;24,76
Mujeres;Extremadura;18,75
Mujeres;Galicia;21,92
Mujeres;Madrid (Comunidad de);21,22
Mujeres;Murcia (Región de);26,67
Mujeres;Navarra (Comunidad Foral de);18,02
Mujeres;País Vasco;17,34
Mujeres;Rioja (La);19,62
Mujeres;Ceuta y Melilla;25,42
