Sexo;Comunidad autónoma;Total
Ambos sexos;Total;30,09
Ambos sexos;Andalucía;29,76
Ambos sexos;Aragón;34,73
Ambos sexos;Asturias (Principado de);30,45
Ambos sexos;Balears (Illes);22,72
Ambos sexos;Canarias;20,54
Ambos sexos;Cantabria;27,09
Ambos sexos;Castilla y León;31,1
Ambos sexos;Castilla-La Mancha;37,4
Ambos sexos;Cataluña;26,29
Ambos sexos;Comunidad Valenciana;31,07
Ambos sexos;Extremadura;29,54
Ambos sexos;Galicia;22,78
Ambos sexos;Madrid (Comunidad de);33,94
Ambos sexos;Murcia (Región de);29,53
Ambos sexos;Navarra (Comunidad Foral de);34,97
Ambos sexos;País Vasco;40,56
Ambos sexos;Rioja (La);38,25
Ambos sexos;Ceuta y Melilla;28,22
Varones;Total;24,02
Varones;Andalucía;23,66
Varones;Aragón;30,01
Varones;Asturias (Principado de);25,74
Varones;Balears (Illes);19,16
Varones;Canarias;15,63
Varones;Cantabria;20,33
Varones;Castilla y León;25,31
Varones;Castilla-La Mancha;30,93
Varones;Cataluña;20,42
Varones;Comunidad Valenciana;25,29
Varones;Extremadura;21,35
Varones;Galicia;15,26
Varones;Madrid (Comunidad de);26,71
Varones;Murcia (Región de);24,42
Varones;Navarra (Comunidad Foral de);26,7
Varones;País Vasco;36,31
Varones;Rioja (La);29,73
Varones;Ceuta y Melilla;18,43
Mujeres;Total;36,48
Mujeres;Andalucía;35,87
Mujeres;Aragón;39,66
Mujeres;Asturias (Principado de);35,79
Mujeres;Balears (Illes);26,48
Mujeres;Canarias;25,65
Mujeres;Cantabria;33,65
Mujeres;Castilla y León;37,47
Mujeres;Castilla-La Mancha;45,03
Mujeres;Cataluña;32,55
Mujeres;Comunidad Valenciana;37,41
Mujeres;Extremadura;38,65
Mujeres;Galicia;30,61
Mujeres;Madrid (Comunidad de);41,25
Mujeres;Murcia (Región de);35,47
Mujeres;Navarra (Comunidad Foral de);43,74
Mujeres;País Vasco;44,93
Mujeres;Rioja (La);48,12
Mujeres;Ceuta y Melilla;38,93
