Sexo;Comunidad autónoma;Total
Ambos sexos;Total;12,93
Ambos sexos;Andalucía;9,8
Ambos sexos;Aragón;15,33
Ambos sexos;Asturias (Principado de);12,94
Ambos sexos;Balears (Illes);24,05
Ambos sexos;Canarias;13,24
Ambos sexos;Cantabria;7,96
Ambos sexos;Castilla y León;12,1
Ambos sexos;Castilla-La Mancha;9,41
Ambos sexos;Cataluña;16,31
Ambos sexos;Comunidad Valenciana;12,04
Ambos sexos;Extremadura;7,91
Ambos sexos;Galicia;14,39
Ambos sexos;Madrid (Comunidad de);13,9
Ambos sexos;Murcia (Región de);11,46
Ambos sexos;Navarra (Comunidad Foral de);11,36
Ambos sexos;País Vasco;12,64
Ambos sexos;Rioja (La);10,51
Ambos sexos;Ceuta y Melilla;15,45
Varones;Total;21,55
Varones;Andalucía;17,2
Varones;Aragón;28,71
Varones;Asturias (Principado de);22,91
Varones;Balears (Illes);39,64
Varones;Canarias;21,37
Varones;Cantabria;13,87
Varones;Castilla y León;21,47
Varones;Castilla-La Mancha;16,76
Varones;Cataluña;25,78
Varones;Comunidad Valenciana;19,98
Varones;Extremadura;15,59
Varones;Galicia;24,86
Varones;Madrid (Comunidad de);21,19
Varones;Murcia (Región de);19,34
Varones;Navarra (Comunidad Foral de);19,38
Varones;País Vasco;21,84
Varones;Rioja (La);16,26
Varones;Ceuta y Melilla;29,04
Mujeres;Total;4,1
Mujeres;Andalucía;2,42
Mujeres;Aragón;1,26
Mujeres;Asturias (Principado de);2,46
Mujeres;Balears (Illes);7,89
Mujeres;Canarias;4,53
Mujeres;Cantabria;1,68
Mujeres;Castilla y León;2,58
Mujeres;Castilla-La Mancha;1,19
Mujeres;Cataluña;6,63
Mujeres;Comunidad Valenciana;3,63
Mujeres;Extremadura;0
Mujeres;Galicia;3,66
Mujeres;Madrid (Comunidad de);6,81
Mujeres;Murcia (Región de);2,74
Mujeres;Navarra (Comunidad Foral de);2,74
Mujeres;País Vasco;3,6
Mujeres;Rioja (La);4,13
Mujeres;Ceuta y Melilla;0
