Sexo;Comunidad autónoma;Total
Ambos sexos;Total;39,81
Ambos sexos;Andalucía;49,93
Ambos sexos;Aragón;40,38
Ambos sexos;Asturias (Principado de);35,54
Ambos sexos;Balears (Illes);31,79
Ambos sexos;Canarias;35,5
Ambos sexos;Cantabria;43,94
Ambos sexos;Castilla y León;36,02
Ambos sexos;Castilla-La Mancha;50,68
Ambos sexos;Cataluña;31,47
Ambos sexos;Comunidad Valenciana;40,56
Ambos sexos;Extremadura;50,57
Ambos sexos;Galicia;37,37
Ambos sexos;Madrid (Comunidad de);36,06
Ambos sexos;Murcia (Región de);44,54
Ambos sexos;Navarra (Comunidad Foral de);40,97
Ambos sexos;País Vasco;37,59
Ambos sexos;Rioja (La);38,46
Ambos sexos;Ceuta y Melilla;45,28
Varones;Total;24,38
Varones;Andalucía;32,2
Varones;Aragón;21,27
Varones;Asturias (Principado de);20,43
Varones;Balears (Illes);17,76
Varones;Canarias;21,2
Varones;Cantabria;30,75
Varones;Castilla y León;19,3
Varones;Castilla-La Mancha;32,85
Varones;Cataluña;18,24
Varones;Comunidad Valenciana;26,22
Varones;Extremadura;32,56
Varones;Galicia;21,49
Varones;Madrid (Comunidad de);21,25
Varones;Murcia (Región de);26,97
Varones;Navarra (Comunidad Foral de);26,69
Varones;País Vasco;24,79
Varones;Rioja (La);25,61
Varones;Ceuta y Melilla;21,43
Mujeres;Total;55,63
Mujeres;Andalucía;67,61
Mujeres;Aragón;60,46
Mujeres;Asturias (Principado de);51,41
Mujeres;Balears (Illes);46,35
Mujeres;Canarias;50,81
Mujeres;Cantabria;57,97
Mujeres;Castilla y León;53,03
Mujeres;Castilla-La Mancha;70,64
Mujeres;Cataluña;45
Mujeres;Comunidad Valenciana;55,74
Mujeres;Extremadura;69,13
Mujeres;Galicia;53,66
Mujeres;Madrid (Comunidad de);50,46
Mujeres;Murcia (Región de);63,98
Mujeres;Navarra (Comunidad Foral de);56,31
Mujeres;País Vasco;50,15
Mujeres;Rioja (La);52,73
Mujeres;Ceuta y Melilla;72,39
