Sexo;Comunidad autónoma;Total
Ambos sexos;Total;15,87
Ambos sexos;Andalucía;14,86
Ambos sexos;Aragón;13,45
Ambos sexos;Asturias (Principado de);18,63
Ambos sexos;Balears (Illes);12,47
Ambos sexos;Canarias;17,3
Ambos sexos;Cantabria;17,62
Ambos sexos;Castilla y León;17,26
Ambos sexos;Castilla-La Mancha;15,07
Ambos sexos;Cataluña;16
Ambos sexos;Comunidad Valenciana;15,46
Ambos sexos;Extremadura;15,96
Ambos sexos;Galicia;13,82
Ambos sexos;Madrid (Comunidad de);15,77
Ambos sexos;Murcia (Región de);19
Ambos sexos;Navarra (Comunidad Foral de);18,32
Ambos sexos;País Vasco;18,8
Ambos sexos;Rioja (La);19,08
Ambos sexos;Ceuta y Melilla;13,25
Varones;Total;14,04
Varones;Andalucía;16,36
Varones;Aragón;11,43
Varones;Asturias (Principado de);12,28
Varones;Balears (Illes);12
Varones;Canarias;15,2
Varones;Cantabria;15,76
Varones;Castilla y León;13,23
Varones;Castilla-La Mancha;14,59
Varones;Cataluña;12,53
Varones;Comunidad Valenciana;14,72
Varones;Extremadura;16,82
Varones;Galicia;9,63
Varones;Madrid (Comunidad de);13,09
Varones;Murcia (Región de);18,25
Varones;Navarra (Comunidad Foral de);15,22
Varones;País Vasco;14,58
Varones;Rioja (La);17,28
Varones;Ceuta y Melilla;14,51
Mujeres;Total;17,74
Mujeres;Andalucía;13,36
Mujeres;Aragón;15,58
Mujeres;Asturias (Principado de);25,29
Mujeres;Balears (Illes);12,96
Mujeres;Canarias;19,55
Mujeres;Cantabria;19,6
Mujeres;Castilla y León;21,35
Mujeres;Castilla-La Mancha;15,61
Mujeres;Cataluña;19,56
Mujeres;Comunidad Valenciana;16,23
Mujeres;Extremadura;15,07
Mujeres;Galicia;18,13
Mujeres;Madrid (Comunidad de);18,39
Mujeres;Murcia (Región de);19,82
Mujeres;Navarra (Comunidad Foral de);21,65
Mujeres;País Vasco;22,94
Mujeres;Rioja (La);21,08
Mujeres;Ceuta y Melilla;11,82
