Sexo;Comunidad autónoma;Total
Ambos sexos;Total;14,51
Varones;Total;21,82
Mujeres;Total;6,95
Ambos sexos;Andalucía;13,4
Varones;Andalucía;21,01
Mujeres;Andalucía;5,6
Ambos sexos;Aragón;15,36
Varones;Aragón;24,74
Mujeres;Aragón;5,36
Ambos sexos;Asturias (Principado de);16,04
Varones;Asturias (Principado de);27,39
Mujeres;Asturias (Principado de);4,69
Ambos sexos;Balears (Illes);17,42
Varones;Balears (Illes);26,43
Mujeres;Balears (Illes);7,99
Ambos sexos;Canarias;13,21
Varones;Canarias;19,79
Mujeres;Canarias;6,38
Ambos sexos;Cantabria;9,73
Varones;Cantabria;16,91
Mujeres;Cantabria;2,42
Ambos sexos;Castilla y León;15,78
Varones;Castilla y León;23,2
Mujeres;Castilla y León;7,88
Ambos sexos;Castilla-La Mancha;15,54
Varones;Castilla-La Mancha;25,79
Mujeres;Castilla-La Mancha;4,45
Ambos sexos;Cataluña;14,81
Varones;Cataluña;20,88
Mujeres;Cataluña;8,42
Ambos sexos;Comunidad Valenciana;14,28
Varones;Comunidad Valenciana;21,86
Mujeres;Comunidad Valenciana;6,36
Ambos sexos;Extremadura;15,52
Varones;Extremadura;23,41
Mujeres;Extremadura;7,2
Ambos sexos;Galicia;16,01
Varones;Galicia;23,31
Mujeres;Galicia;8,69
Ambos sexos;Madrid (Comunidad de);14,97
Varones;Madrid (Comunidad de);21,47
Mujeres;Madrid (Comunidad de);8,54
Ambos sexos;Murcia (Región de);12,19
Varones;Murcia (Región de);19,68
Mujeres;Murcia (Región de);4,11
Ambos sexos;Navarra (Comunidad Foral de);14,86
Varones;Navarra (Comunidad Foral de);21,37
Mujeres;Navarra (Comunidad Foral de);7,93
Ambos sexos;País Vasco;14,43
Varones;País Vasco;20,95
Mujeres;País Vasco;7,76
Ambos sexos;Rioja (La);8,65
Varones;Rioja (La);11,39
Mujeres;Rioja (La);5,69
Ambos sexos;Ceuta y Melilla;12,35
Varones;Ceuta y Melilla;21,26
Mujeres;Ceuta y Melilla;3,19
