Sexo;Comunidad autónoma;Total
Ambos sexos;Total;22,3
Varones;Total;29,82
Mujeres;Total;14,81
Ambos sexos;Andalucía;21,71
Varones;Andalucía;30,53
Mujeres;Andalucía;13,69
Ambos sexos;Aragón;19,4
Varones;Aragón;30,21
Mujeres;Aragón;8,7
Ambos sexos;Asturias (Principado de);20,53
Varones;Asturias (Principado de);31
Mujeres;Asturias (Principado de);10,27
Ambos sexos;Balears (Illes);25,31
Varones;Balears (Illes);34,55
Mujeres;Balears (Illes);16,02
Ambos sexos;Canarias;28,94
Varones;Canarias;36,5
Mujeres;Canarias;21,13
Ambos sexos;Cantabria;20,11
Varones;Cantabria;25,51
Mujeres;Cantabria;14,18
Ambos sexos;Castilla y León;21,99
Varones;Castilla y León;27,94
Mujeres;Castilla y León;16,28
Ambos sexos;Castilla-La Mancha;18,97
Varones;Castilla-La Mancha;27,94
Mujeres;Castilla-La Mancha;9,38
Ambos sexos;Cataluña;22,87
Varones;Cataluña;28,82
Mujeres;Cataluña;16,65
Ambos sexos;Comunidad Valenciana;21,83
Varones;Comunidad Valenciana;29,56
Mujeres;Comunidad Valenciana;13,74
Ambos sexos;Extremadura;20,93
Varones;Extremadura;33,56
Mujeres;Extremadura;8,17
Ambos sexos;Galicia;25,42
Varones;Galicia;32,44
Mujeres;Galicia;17,72
Ambos sexos;Madrid (Comunidad de);23,9
Varones;Madrid (Comunidad de);30,9
Mujeres;Madrid (Comunidad de);17,07
Ambos sexos;Murcia (Región de);19,21
Varones;Murcia (Región de);26,75
Mujeres;Murcia (Región de);10,8
Ambos sexos;Navarra (Comunidad Foral de);18,2
Varones;Navarra (Comunidad Foral de);23,63
Mujeres;Navarra (Comunidad Foral de);13,05
Ambos sexos;País Vasco;18,27
Varones;País Vasco;23,03
Mujeres;País Vasco;14,12
Ambos sexos;Rioja (La);16,79
Varones;Rioja (La);20,63
Mujeres;Rioja (La);13,05
Ambos sexos;Ceuta y Melilla;19,89
Varones;Ceuta y Melilla;28,07
Mujeres;Ceuta y Melilla;11,07
