Sexo;Comunidad autónoma;Total
Ambos sexos;Total;5,36
Varones;Total;5,86
Mujeres;Total;4,85
Ambos sexos;Andalucía;4,18
Varones;Andalucía;4,3
Mujeres;Andalucía;4,06
Ambos sexos;Aragón;4,36
Varones;Aragón;5,27
Mujeres;Aragón;3,4
Ambos sexos;Asturias (Principado de);5,26
Varones;Asturias (Principado de);4,38
Mujeres;Asturias (Principado de);6,18
Ambos sexos;Balears (Illes);9,04
Varones;Balears (Illes);8,45
Mujeres;Balears (Illes);9,67
Ambos sexos;Canarias;6,06
Varones;Canarias;7,28
Mujeres;Canarias;4,75
Ambos sexos;Cantabria;1,11
Varones;Cantabria;0
Mujeres;Cantabria;2,27
Ambos sexos;Castilla y León;5,14
Varones;Castilla y León;6,04
Mujeres;Castilla y León;4,19
Ambos sexos;Castilla-La Mancha;3,63
Varones;Castilla-La Mancha;4,02
Mujeres;Castilla-La Mancha;3,18
Ambos sexos;Cataluña;7,1
Varones;Cataluña;8,6
Mujeres;Cataluña;5,53
Ambos sexos;Comunidad Valenciana;4,83
Varones;Comunidad Valenciana;4,92
Mujeres;Comunidad Valenciana;4,74
Ambos sexos;Extremadura;2,67
Varones;Extremadura;3,59
Mujeres;Extremadura;1,66
Ambos sexos;Galicia;5,62
Varones;Galicia;6,8
Mujeres;Galicia;4,38
Ambos sexos;Madrid (Comunidad de);6,4
Varones;Madrid (Comunidad de);5,85
Mujeres;Madrid (Comunidad de);6,94
Ambos sexos;Murcia (Región de);5,5
Varones;Murcia (Región de);7,91
Mujeres;Murcia (Región de);2,79
Ambos sexos;Navarra (Comunidad Foral de);4,49
Varones;Navarra (Comunidad Foral de);6,72
Mujeres;Navarra (Comunidad Foral de);2,14
Ambos sexos;País Vasco;4,44
Varones;País Vasco;4,66
Mujeres;País Vasco;4,22
Ambos sexos;Rioja (La);4,96
Varones;Rioja (La);3,49
Mujeres;Rioja (La);6,64
Ambos sexos;Ceuta y Melilla;4,07
Varones;Ceuta y Melilla;6,09
Mujeres;Ceuta y Melilla;1,79
