Sexo;Comunidad autónoma;Total
Ambos sexos;Total;40,97
Ambos sexos;Andalucía;42,19
Ambos sexos;Aragón;33,38
Ambos sexos;Asturias (Principado de);30,95
Ambos sexos;Balears (Illes);40,45
Ambos sexos;Canarias;43,66
Ambos sexos;Cantabria;38,83
Ambos sexos;Castilla y León;24,04
Ambos sexos;Castilla-La Mancha;41
Ambos sexos;Cataluña;49,35
Ambos sexos;Comunidad Valenciana;39,17
Ambos sexos;Extremadura;46,56
Ambos sexos;Galicia;40,64
Ambos sexos;Madrid (Comunidad de);41,16
Ambos sexos;Murcia (Región de);37,28
Ambos sexos;Navarra (Comunidad Foral de);46,59
Ambos sexos;País Vasco;40,12
Ambos sexos;Rioja (La);28,66
Ambos sexos;Ceuta y Melilla;33,37
Varones;Total;40,15
Varones;Andalucía;39,59
Varones;Aragón;33,67
Varones;Asturias (Principado de);29,84
Varones;Balears (Illes);32,34
Varones;Canarias;40,18
Varones;Cantabria;37,94
Varones;Castilla y León;25,2
Varones;Castilla-La Mancha;40,72
Varones;Cataluña;49,34
Varones;Comunidad Valenciana;41,12
Varones;Extremadura;47
Varones;Galicia;39,06
Varones;Madrid (Comunidad de);40,99
Varones;Murcia (Región de);35,67
Varones;Navarra (Comunidad Foral de);48,36
Varones;País Vasco;40,42
Varones;Rioja (La);43,46
Varones;Ceuta y Melilla;24,94
Mujeres;Total;43,52
Mujeres;Andalucía;51,83
Mujeres;Aragón;32,03
Mujeres;Asturias (Principado de);37,81
Mujeres;Balears (Illes);69,95
Mujeres;Canarias;55,32
Mujeres;Cantabria;46,45
Mujeres;Castilla y León;20,69
Mujeres;Castilla-La Mancha;42,67
Mujeres;Cataluña;49,37
Mujeres;Comunidad Valenciana;32,36
Mujeres;Extremadura;45,15
Mujeres;Galicia;44,63
Mujeres;Madrid (Comunidad de);41,54
Mujeres;Murcia (Región de);44,77
Mujeres;Navarra (Comunidad Foral de);41,67
Mujeres;País Vasco;39,36
Mujeres;Rioja (La);0
Mujeres;Ceuta y Melilla;83,11
