Sexo;Comunidad autónoma;Total
Ambos sexos;Total;94,05
Varones;Total;94,64
Mujeres;Total;93,44
Ambos sexos;Andalucía;92,9
Varones;Andalucía;93
Mujeres;Andalucía;92,79
Ambos sexos;Aragón;92,05
Varones;Aragón;91,4
Mujeres;Aragón;92,73
Ambos sexos;Asturias (Principado de);94,42
Varones;Asturias (Principado de);97,22
Mujeres;Asturias (Principado de);91,63
Ambos sexos;Balears (Illes);97,52
Varones;Balears (Illes);97,51
Mujeres;Balears (Illes);97,53
Ambos sexos;Canarias;94,94
Varones;Canarias;96,12
Mujeres;Canarias;93,72
Ambos sexos;Cantabria;94,16
Varones;Cantabria;95,44
Mujeres;Cantabria;92,85
Ambos sexos;Castilla y León;92,31
Varones;Castilla y León;93,38
Mujeres;Castilla y León;91,18
Ambos sexos;Castilla-La Mancha;94,48
Varones;Castilla-La Mancha;97,25
Mujeres;Castilla-La Mancha;91,49
Ambos sexos;Cataluña;95,53
Varones;Cataluña;95,39
Mujeres;Cataluña;95,68
Ambos sexos;Comunidad Valenciana;94,97
Varones;Comunidad Valenciana;96,25
Mujeres;Comunidad Valenciana;93,62
Ambos sexos;Extremadura;93,86
Varones;Extremadura;95,06
Mujeres;Extremadura;92,59
Ambos sexos;Galicia;94,26
Varones;Galicia;96,4
Mujeres;Galicia;92,12
Ambos sexos;Madrid (Comunidad de);93,91
Varones;Madrid (Comunidad de);93,7
Mujeres;Madrid (Comunidad de);94,13
Ambos sexos;Murcia (Región de);91,74
Varones;Murcia (Región de);93,84
Mujeres;Murcia (Región de);89,49
Ambos sexos;Navarra (Comunidad Foral de);93,45
Varones;Navarra (Comunidad Foral de);93,33
Mujeres;Navarra (Comunidad Foral de);93,59
Ambos sexos;País Vasco;93,74
Varones;País Vasco;92,53
Mujeres;País Vasco;94,99
Ambos sexos;Rioja (La);92,69
Varones;Rioja (La);95,47
Mujeres;Rioja (La);89,68
Ambos sexos;Ceuta y Melilla;91,46
Varones;Ceuta y Melilla;95,58
Mujeres;Ceuta y Melilla;87,23
