Sexo;Comunidad autónoma;Total
Ambos sexos;Total;43,41
Ambos sexos;Andalucía;44,69
Ambos sexos;Aragón;42,17
Ambos sexos;Asturias (Principado de);42,2
Ambos sexos;Balears (Illes);43,08
Ambos sexos;Canarias;45,98
Ambos sexos;Cantabria;39,35
Ambos sexos;Castilla y León;40,28
Ambos sexos;Castilla-La Mancha;37,66
Ambos sexos;Cataluña;45,01
Ambos sexos;Comunidad Valenciana;42,96
Ambos sexos;Extremadura;42,96
Ambos sexos;Galicia;42,42
Ambos sexos;Madrid (Comunidad de);43,09
Ambos sexos;Murcia (Región de);45,01
Ambos sexos;Navarra (Comunidad Foral de);46,09
Ambos sexos;País Vasco;43,69
Ambos sexos;Rioja (La);43,76
Ambos sexos;Ceuta y Melilla;38,9
Varones;Total;44,61
Varones;Andalucía;44,81
Varones;Aragón;45,67
Varones;Asturias (Principado de);42,7
Varones;Balears (Illes);47,15
Varones;Canarias;50,13
Varones;Cantabria;41,4
Varones;Castilla y León;41,01
Varones;Castilla-La Mancha;38,66
Varones;Cataluña;47,71
Varones;Comunidad Valenciana;43,74
Varones;Extremadura;47,23
Varones;Galicia;43,26
Varones;Madrid (Comunidad de);43,47
Varones;Murcia (Región de);42,36
Varones;Navarra (Comunidad Foral de);42,52
Varones;País Vasco;45,29
Varones;Rioja (La);48,94
Varones;Ceuta y Melilla;29,87
Mujeres;Total;42,16
Mujeres;Andalucía;44,55
Mujeres;Aragón;38,45
Mujeres;Asturias (Principado de);41,66
Mujeres;Balears (Illes);38,64
Mujeres;Canarias;41,59
Mujeres;Cantabria;37,16
Mujeres;Castilla y León;39,49
Mujeres;Castilla-La Mancha;36,47
Mujeres;Cataluña;42,18
Mujeres;Comunidad Valenciana;42,13
Mujeres;Extremadura;38,29
Mujeres;Galicia;41,56
Mujeres;Madrid (Comunidad de);42,73
Mujeres;Murcia (Región de);47,96
Mujeres;Navarra (Comunidad Foral de);49,8
Mujeres;País Vasco;42,08
Mujeres;Rioja (La);37,92
Mujeres;Ceuta y Melilla;48,75
