Sexo;Comunidad autónoma;Total
Ambos sexos;Total;53,85
Ambos sexos;Andalucía;52,1
Ambos sexos;Aragón;48,17
Ambos sexos;Asturias (Principado de);53,98
Ambos sexos;Balears (Illes);55,71
Ambos sexos;Canarias;58,22
Ambos sexos;Cantabria;50,97
Ambos sexos;Castilla y León;52,24
Ambos sexos;Castilla-La Mancha;47,91
Ambos sexos;Cataluña;59,48
Ambos sexos;Comunidad Valenciana;52,27
Ambos sexos;Extremadura;44,18
Ambos sexos;Galicia;54,6
Ambos sexos;Madrid (Comunidad de);53,08
Ambos sexos;Murcia (Región de);55,44
Ambos sexos;Navarra (Comunidad Foral de);53,41
Ambos sexos;País Vasco;56,09
Ambos sexos;Rioja (La);53,36
Ambos sexos;Ceuta y Melilla;51,35
Varones;Total;50,29
Varones;Andalucía;48,6
Varones;Aragón;40,73
Varones;Asturias (Principado de);48,96
Varones;Balears (Illes);52,88
Varones;Canarias;56,28
Varones;Cantabria;45,89
Varones;Castilla y León;47,24
Varones;Castilla-La Mancha;43,6
Varones;Cataluña;55,32
Varones;Comunidad Valenciana;48,97
Varones;Extremadura;40,94
Varones;Galicia;54,79
Varones;Madrid (Comunidad de);49,46
Varones;Murcia (Región de);54,92
Varones;Navarra (Comunidad Foral de);48,15
Varones;País Vasco;51,79
Varones;Rioja (La);49,45
Varones;Ceuta y Melilla;42,59
Mujeres;Total;57,57
Mujeres;Andalucía;55,68
Mujeres;Aragón;55,95
Mujeres;Asturias (Principado de);59,34
Mujeres;Balears (Illes);58,65
Mujeres;Canarias;60,35
Mujeres;Cantabria;56,31
Mujeres;Castilla y León;57,65
Mujeres;Castilla-La Mancha;52,88
Mujeres;Cataluña;63,84
Mujeres;Comunidad Valenciana;55,79
Mujeres;Extremadura;47,72
Mujeres;Galicia;54,4
Mujeres;Madrid (Comunidad de);56,65
Mujeres;Murcia (Región de);56,03
Mujeres;Navarra (Comunidad Foral de);58,92
Mujeres;País Vasco;60,41
Mujeres;Rioja (La);57,84
Mujeres;Ceuta y Melilla;61,39
